job_title_short;job_via;job_schedule_type;job_work_from_home;job_posted_date;job_no_degree_mention;job_health_insurance;job_country;salary_rate;salary_year_avg;salary_hour_avg;job_skills;job_location;company_name;job_title;search_location
Data Engineer;via LinkedIn;Full-time;TRUE;15/05/2023 10:41;TRUE;TRUE;Sudan;year;2000000;0;{python, sql, aws, pyspark};Anywhere;Storm3;Lead Data Engineer;Sudan
Data Engineer;via LinkedIn;Full-time;TRUE;11/05/2023 21:14;FALSE;FALSE;United States;hour;0;550;{t-sql, python, aws, gcp, azure, looker, tableau};Anywhere;Simplex.;Contract Data Engineer - Looker;Illinois, United States
Data Analyst;via IT JobServe;Full-time;FALSE;27/05/2023 07:22;FALSE;FALSE;United States;hour;0;240;{cognos};Tallahassee, FL;Highmark Health;Data Analyst, Senior;Georgia
Data Scientist;via Dice.com;Full-time;FALSE;15/05/2023 19:21;FALSE;FALSE;United States;hour;0;550;{python, mongodb, mongodb, neo4j, tensorflow, scikit-learn, spark, kafka, tableau, word};Charlotte, NC;Alamedatech Solutions;Data Scientist;Illinois, United States
Data Scientist;via Upwork;Contractor;TRUE;05/05/2023 12:20;FALSE;FALSE;United States;hour;0;700;;Anywhere;Upwork;Data scientist to help interpret data files;Texas, United States
Data Scientist;via Ai-Jobs.net;Full-time;FALSE;05/05/2023 01:18;FALSE;FALSE;United Kingdom;year;699625;0;{python, r, sql, azure, aws};Edinburgh, UK;Blend360;Graduate Data Scientist/Analyst/BI Consultant;United Kingdom
Data Engineer;via ZipRecruiter;Full-time;FALSE;04/05/2023 13:12;FALSE;FALSE;United States;year;1480000;0;{sql, sql server, azure, databricks, kafka, cognos, tableau};San Francisco, CA;Sephora;Data Engineer;Florida, United States
Senior Data Engineer;via LinkedIn;Full-time;FALSE;26/05/2023 00:05;FALSE;FALSE;United States;year;3750000;0;;United States;Engtal;Senior Data Engineer (Live Streaming);California, United States
Data Engineer;via LinkedIn;Full-time;FALSE;01/05/2023 13:10;FALSE;FALSE;United States;year;1475000;0;{python, jupyter};Colorado Springs, CO;EMW Staffing Solutions LLC;Top Secret Data Engineer/Analyst Mid to Senior;Illinois, United States
Machine Learning Engineer;via Ai-Jobs.net;Full-time;FALSE;02/05/2023 01:22;FALSE;FALSE;Netherlands;year;729000;0;{python, bash, azure, databricks, airflow, spark, flow};Utrecht, Netherlands;Magno IT Recruitment;Machine Learning Ops Engineer;Netherlands
Data Scientist;via LinkedIn;Full-time;FALSE;17/05/2023 15:02;FALSE;FALSE;United States;year;900000;0;{sql, python, r, sql server, snowflake, oracle, excel, powerpoint, tableau, qlik, power bi, alteryx};Los Angeles, CA;Daikin Comfort;Data Scientist;California, United States
Senior Data Engineer;via KTAL News Jobs;Full-time;FALSE;25/05/2023 10:05;FALSE;TRUE;United States;year;1550000;0;{shell, aws, gcp, azure, redshift, snowflake, databricks, spark, kafka};Thousand Oaks, CA;Jobot;Senior Data Engineer;California, United States
Senior Data Analyst;via Indeed;Full-time;FALSE;25/05/2023 19:01;FALSE;TRUE;United States;year;7064134375;0;{sap, excel};San Antonio, TX;City of San Antonio;Master Data Senior Analyst;Texas, United States
Data Engineer;via Built In Boston;Full-time;FALSE;13/05/2023 22:23;TRUE;TRUE;United States;year;1050000;0;{sql, html, python, bash, oracle};Dedham, MA;Yes Energy;Data Engineer (PL/SQL) Hybrid - Boulder, CO / Chicago, IL ...;New York, United States
Data Engineer;via Ai-Jobs.net;Full-time;FALSE;27/05/2023 06:15;TRUE;FALSE;Netherlands;year;1475000;0;{sql, python, c#, azure, databricks, pyspark, kubernetes, gitlab};Maassluis, Netherlands;Lely;Data Engineer;Netherlands
Data Scientist;via Ai-Jobs.net;Full-time;FALSE;03/05/2023 16:01;FALSE;FALSE;Bulgaria;year;877050;0;{python, r, hadoop, spark, tableau};Sofia, Bulgaria;Wallex;Data Scientist;Bulgaria
Data Engineer;via LinkedIn;Full-time;TRUE;31/05/2023 15:17;FALSE;TRUE;Sudan;year;1550000;0;{python, sql, azure, snowflake, aws, gcp, databricks, pyspark, numpy, pandas, scikit-learn, tensorflow, airflow};Anywhere;Hays;Python Data Engineer;Sudan
Data Engineer;via Dice;Full-time;FALSE;25/05/2023 12:04;FALSE;FALSE;United States;year;875000;0;{sql, mysql, excel, flow};New York, NY;Jobot;Data Engineer;New York, United States
Data Scientist;via Ladders;Full-time;FALSE;26/05/2023 07:02;FALSE;TRUE;United States;year;1150000;0;{python};Annapolis Junction, MD;Leidos;Data Scientist;New York, United States
Data Scientist;via LinkedIn;Full-time;FALSE;05/05/2023 08:18;FALSE;TRUE;United States;year;1290000;0;{python, sql, r, mysql, sql server, pandas, numpy, tensorflow, keras, scikit-learn, tableau};New York, NY;CVS Health;Data Scientist;New York, United States
Data Engineer;via Dice;Full-time;FALSE;09/05/2023 21:18;FALSE;FALSE;United States;year;1300000;0;{sql, nosql, python, scala, c#, aws, azure, redshift, databricks, spark, kafka, power bi, tableau, git};Kansas City, MO;WiredHive;Data Engineer;California, United States
Data Engineer;via Central Illinois Proud Jobs;Full-time;FALSE;14/05/2023 06:09;TRUE;TRUE;United States;year;694470;0;{sas, sas, python, sql, gcp};Leeds, AL;Lloyds Banking Group;Data Engineer - Enterprise Risk Platform;Florida, United States
Senior Data Engineer;via Built In NYC;Full-time;FALSE;15/05/2023 10:40;TRUE;TRUE;Sudan;year;1415000;0;{sql, t-sql, python, scala, java, shell, cassandra, snowflake, azure, databricks, kafka, spark, hadoop, airflow, scikit-learn, jupyter, linux};New York, NY;Rockstar Games;Senior Data Engineer (Greater NYC Area, NY);Sudan
Software Engineer;via Ai-Jobs.net;Full-time;FALSE;10/05/2023 18:19;FALSE;FALSE;Canada;year;991500;0;{python, sql, databricks, spark, mxnet};Montreal, QC, Canada;GeoComply;Senior Software Engineer -  Machine Learning;Canada
Data Analyst;via LinkedIn;Full-time;TRUE;25/05/2023 12:52;FALSE;FALSE;Sudan;hour;0;425;{sql};Anywhere;Insight Global;Data Analyst;Sudan
Data Engineer;via ZipRecruiter;Full-time;FALSE;31/05/2023 20:10;FALSE;FALSE;United States;year;1400000;0;{python, sql, aws, pandas, numpy};McLean, VA;Request Technology;Data Engineer;Texas, United States
Cloud Engineer;via PHL17 Jobs;Full-time;FALSE;06/05/2023 14:25;FALSE;TRUE;United States;year;1510000;0;{python, javascript, sql, dynamodb, elasticsearch, aws, databricks, snowflake, kafka, airflow, terraform, jenkins, github};Hartford, CT;The Travelers Companies, Inc.;Cloud Data Engineer II - Enterprise Analytics Data Products ...;Illinois, United States
Data Analyst;via KTAL News Jobs;Full-time;FALSE;28/05/2023 06:00;FALSE;TRUE;United States;year;740500;0;{sql, python, r, excel};Palos Verdes Estates, CA;Health Net;Data Analyst II (Healthcare Analytics);California, United States
Data Engineer;via Indeed;Full-time;FALSE;17/05/2023 15:05;FALSE;FALSE;United States;hour;0;620;{python, java, aws, databricks, spark};East Moline, IL;Simplelogix;Data Engineer;Texas, United States
Data Analyst;via Get.It;Full-time;TRUE;09/05/2023 09:01;FALSE;TRUE;United States;hour;0;450;{sql, r, python, postgresql, excel, power bi};Anywhere;Get It Recruit - Information Technology;Data Analyst (SQL, Power BI, and Blueshift) for Temporary Position...;California, United States
Data Engineer;via Ladders;Full-time;FALSE;11/05/2023 11:10;FALSE;FALSE;United States;year;900000;0;{excel};Dayton, OH;LexisNexis Group;Data Engineer I;California, United States
Data Analyst;via Indeed;Full-time;FALSE;30/05/2023 16:00;TRUE;TRUE;United States;year;510000;0;{excel, tableau, word, powerpoint, outlook, sharepoint};Los Angeles, CA;Coalition for Responsible Community Development;Data and Reporting Analyst;California, United States
Data Engineer;via Upwork;Contractor;TRUE;10/05/2023 03:40;FALSE;FALSE;United States;hour;0;275;{sql, python, java, scala, gcp, bigquery};Anywhere;Upwork;Data Engineer (GCP) - Google Cloud - On Going Projects;Georgia
Senior Data Scientist;via LinkedIn;Contractor;TRUE;08/05/2023 16:06;FALSE;FALSE;United States;hour;0;800;{r, python, sql, aws, gcp, databricks, snowflake, spark, airflow, looker, tableau, jenkins, github};Anywhere;Harnahm;Senior Data Scientist - (Leading Streaming Client);Texas, United States
Data Analyst;via Upwork;Contractor;TRUE;25/05/2023 11:52;FALSE;FALSE;Sudan;hour;0;200;;Anywhere;Upwork;Data Analyst | Data Scientist - Contract to Hire;Sudan
Data Engineer;via LinkedIn;Contractor;TRUE;10/05/2023 21:39;FALSE;FALSE;United States;hour;0;625;{python, dynamodb, aws, aurora};Anywhere;Motion Recruitment;Data Engineer;Georgia
Data Engineer;via Indeed;Full-time;FALSE;06/05/2023 14:25;FALSE;TRUE;United States;year;850000;0;{python, sql, azure, aws, gcp};Warrington, PA;Kane Partners LLC;Data Engineer - Machine Learning;Illinois, United States
Data Engineer;via LinkedIn;Full-time;FALSE;09/05/2023 13:28;FALSE;FALSE;United States;year;1050000;0;;New York, NY;Metropolitan Transportation Authority;ETL Developer / Data Engineer;Florida, United States
Data Scientist;via Ladders;Full-time;FALSE;24/05/2023 07:04;FALSE;FALSE;United States;year;1250000;0;{sql, python, tableau, flow};Tampa, FL;Blue Health Intelligence(BHI);Senior Consultant, Analytic Consulting and Data Science;Florida, United States
Data Scientist;via Ladders;Full-time;FALSE;17/05/2023 08:03;FALSE;TRUE;United States;year;1150000;0;{python, r, sql, nosql, mysql, tensorflow, pytorch, scikit-learn, hadoop, kafka, spark, plotly, seaborn, ggplot2};Huntsville, AL;Booz Allen Hamilton;Data Scientist and Applied Mathematician;Illinois, United States
Data Engineer;via LinkedIn;Full-time;TRUE;30/05/2023 18:28;FALSE;FALSE;United States;year;1570000;0;{go, python, golang};Anywhere;Insight Global;Backend Data Engineer;Georgia
Data Engineer;via LinkedIn;Full-time;TRUE;10/05/2023 14:07;TRUE;FALSE;United States;year;1150000;0;{sap, flow};Anywhere;Insight Global;Remote SAP Data Engineer;New York, United States
Data Scientist;via Ladders;Full-time;FALSE;30/05/2023 12:02;FALSE;TRUE;United States;year;1500000;0;{sql, r, python, java, scala, aws, spark};San Jose, CA;The Trade Desk;Staff Data Scientist - Buying / Markets;California, United States
Data Analyst;via IT JobServe;Full-time;FALSE;04/05/2023 17:44;FALSE;FALSE;United States;year;785170;0;{sql, r, python, sas, sas, power bi, tableau, spss, excel};Columbia, SC;ICF;Data Analyst;Georgia
Data Engineer;via LinkedIn;Contractor;FALSE;30/05/2023 20:07;FALSE;FALSE;United States;hour;0;750;{sql, powershell, python, java, c++};;neteffects;Data Engineer;Texas, United States
Data Analyst;via LinkedIn;Contractor;FALSE;08/05/2023 22:02;FALSE;TRUE;United States;hour;0;525;{sql, tableau};Austin, TX;IDR, Inc.;Data Analyst;Texas, United States
Senior Data Engineer;via Ladders;Full-time;FALSE;04/05/2023 12:12;TRUE;TRUE;United States;year;1500000;0;{sql, python, snowflake, tableau, excel, looker};San Diego, CA;PeopleConnect;Senior Data Engineer;Florida, United States
Data Engineer;via Indeed;Full-time;FALSE;17/05/2023 22:24;FALSE;FALSE;United States;year;1600000;0;{python};Washington, DC;CyberCoders;Data Engineer;Florida, United States
Data Engineer;via Ai-Jobs.net;Full-time;FALSE;02/05/2023 01:30;TRUE;FALSE;Israel;year;1475000;0;{sql, nosql, python, java, aws, spark, docker};Tel Aviv-Yafo, Israel;Darrow;Data Engineer;Israel
Data Engineer;via LinkedIn;Full-time;FALSE;25/05/2023 10:53;TRUE;TRUE;Sudan;year;1400000;0;{python, fastapi, flask, django, word};New York, NY;CyberCoders;Backend/ Data Engineer;Sudan
Data Scientist;via Ai-Jobs.net;Full-time;FALSE;02/05/2023 00:19;FALSE;FALSE;France;year;877050;0;;Paris, France;Akur8;Actuarial Data Scientist;France
Data Engineer;via LinkedIn;Full-time;FALSE;25/05/2023 01:06;FALSE;FALSE;United States;year;870000;0;{sql, python, java, mysql, snowflake, aws, microstrategy, tableau};Remote, OR;Cisco;Data Engineer Intern II (Data Science Infrastructure) - Fall 2023...;California, United States
Data Engineer;via LinkedIn;Full-time;FALSE;09/05/2023 22:27;FALSE;FALSE;United States;year;1579340;0;{sql, nosql, python, scala, r, java, c, aws, azure, hadoop, spark, kafka, excel};Arlington, VA;United States Space Force;Data Engineer, Chief Technology Information Office;Florida, United States
Data Analyst;via Ai-Jobs.net;Full-time;FALSE;01/05/2023 08:20;FALSE;FALSE;Poland;year;1111750;0;{sas, sas, sql, gdpr, jira};Warsaw, Poland;Alter Solutions;Data Analyst (BN);Poland
Data Scientist;via ZipRecruiter;Full-time;FALSE;03/05/2023 09:04;FALSE;TRUE;United States;year;1179035;0;;Austin, TX;United States Army Futures Command;Data Scientist;Texas, United States
Senior Data Engineer;via Indeed;Full-time;FALSE;24/05/2023 08:08;FALSE;TRUE;United States;year;2195000;0;{java, scala, python, sql, spark, kafka, hadoop};Cupertino, CA;Apple;AIML - Sr Data Engineer, AIML Data;Florida, United States
Data Engineer;via LinkedIn;Full-time;FALSE;12/05/2023 18:08;FALSE;TRUE;United States;year;1200000;0;{python, sql, power bi, tableau, qlik, looker};New York, NY;Datalogz;Data Engineer;California, United States
Data Scientist;via LinkedIn;Full-time;FALSE;08/05/2023 17:07;FALSE;FALSE;United States;year;2200000;0;{python, sql, r, sas, sas, javascript};United States;Ridgeback Business Solutions;Sr. Data Scientist (TS/SCI);Illinois, United States
Data Scientist;via Ladders;Full-time;FALSE;25/05/2023 11:03;FALSE;TRUE;United States;year;1750000;0;;Scottsdale, AZ;General Dynamics;Data Scientist;California, United States
Data Engineer;via Indeed;Full-time;FALSE;15/05/2023 07:21;TRUE;TRUE;United States;year;1150000;0;{sql, python, c#, jenkins, git, jira};Jacksonville, FL;Jobot;Data Engineer;New York, United States
Data Engineer;via Ai-Jobs.net;Full-time;FALSE;29/05/2023 16:08;FALSE;FALSE;India;year;1475000;0;{python, bash, nosql, sql, redis, aws, hadoop, spark, pyspark};Bengaluru, Karnataka, India;Paytm;Data Engineer - Senior Software Engineer;India
Data Engineer;via Ai-Jobs.net;Full-time;FALSE;12/05/2023 12:00;FALSE;FALSE;South Africa;year;2490000;0;{sql, oracle, azure, hadoop};Johannesburg, South Africa;Standard Bank Group;80405862 - Data Engineer;South Africa
Data Engineer;via Ladders;Full-time;FALSE;29/05/2023 08:37;FALSE;FALSE;Sudan;year;1150000;0;{oracle, aws, azure, tableau};Fieldale, VA;Cognosante;Data Engineer;Sudan
Data Scientist;via Ai-Jobs.net;Full-time;FALSE;31/05/2023 12:01;FALSE;FALSE;Israel;year;1833200;0;{python, sql, nosql, spark, sap, flow};Tel Aviv-Yafo, Israel;Forter;Data Science Manager;Israel
Data Engineer;via ZipRecruiter;Contractor;FALSE;04/05/2023 09:11;FALSE;FALSE;United States;hour;0;830;{nosql};Cincinnati, OH;HireGenics;Data Engineer;Illinois, United States
Senior Data Scientist;via LinkedIn;Full-time;TRUE;25/05/2023 20:52;FALSE;FALSE;Sudan;year;2200000;0;{python, sql};Anywhere;Mysten Labs;Senior Data Scientist, Finance Ecosystem;Sudan
Machine Learning Engineer;via Ai-Jobs.net;Full-time;FALSE;15/05/2023 09:50;FALSE;FALSE;India;year;1660000;0;{python, sql, go, c++, javascript, mongodb, mongodb, redis, bigquery, spark, kafka, airflow, excel, docker, kubernetes};Bengaluru, Karnataka, India;Zscaler;Machine Learning Engineer - Data Pre-processing, Pipeline, Streaming;India
Data Scientist;via ProActuary;Full-time;FALSE;11/05/2023 07:06;FALSE;TRUE;United States;year;1260000;0;{python, scala, sql, snowflake, azure, tensorflow, keras, scikit-learn, spark, pyspark, unix, tableau, power bi, github};Minnesota;UnitedHealth Group;Actuarial Data Scientist - Remote;Illinois, United States
Data Analyst;via Snagajob;Full-time;FALSE;10/05/2023 11:02;TRUE;TRUE;United States;hour;0;375;{sql, javascript, sas, sas, excel, spss};Jacksonville, FL;Wrestling Price Guide;Data Analyst;Florida, United States
Data Engineer;via LinkedIn;Contractor;TRUE;04/05/2023 15:08;FALSE;FALSE;United States;hour;0;610;{sas, sas, sql};Anywhere;ManpowerGroup;Clinical Data Engineer;New York, United States
Data Engineer;via ZipRecruiter;Full-time;FALSE;04/05/2023 21:10;FALSE;TRUE;United States;hour;0;800;{sharepoint};Austin, TX;Aditi Consulting;Data Analytics & Engineering - Data Engineer;Texas, United States
Data Engineer;via Dice;Full-time;FALSE;25/05/2023 00:08;TRUE;TRUE;United States;year;1000000;0;{sql, python, java, go, azure, aws, snowflake};Des Moines, IA;Robert Half;Data Engineer ETL lnformatica APi Engineer;Florida, United States
Data Analyst;via Indeed;Contractor;FALSE;08/05/2023 18:01;FALSE;TRUE;United States;hour;0;400;{sql, go, word, excel, powerpoint, visio, flow, jira};Alameda, CA;Robert Half;Business Process Data Analyst;California, United States
Data Analyst;via Indeed;Full-time;FALSE;10/05/2023 18:01;FALSE;FALSE;United States;year;906126000000;0;{r};San Francisco, CA;NCIRE;Staff Research Associate IV Supervisor (Data Analyst);California, United States
Data Engineer;via LinkedIn;Full-time;FALSE;17/05/2023 09:56;FALSE;TRUE;United States;year;1400000;0;{assembly, python, java, c#, c++, nosql, html, css, sql, mongodb, mongodb, bash, powershell, sql server, postgresql, dynamodb, aws, azure, keras, tensorflow, linux, tableau, ssis, word, git};Costa Mesa, CA;CyberCoders;Sr. Data Engineer - Microelectronics;Georgia
Machine Learning Engineer;via Ai-Jobs.net;Full-time;FALSE;11/05/2023 09:21;FALSE;FALSE;Canada;year;991500;0;{snowflake, aws, airflow};Montreal, QC, Canada;Sharethrough;Machine Learning Operations Engineer;Canada
Data Engineer;via Ai-Jobs.net;Full-time;FALSE;03/05/2023 21:42;FALSE;FALSE;Singapore;year;648000;0;{aws};Singapore;Amazon.com;Data Center Engineering Operation Engineer, Data Center...;Singapore
Senior Data Engineer;via Ladders;Full-time;FALSE;16/05/2023 12:11;TRUE;TRUE;United States;year;1500000;0;{python, sql, redshift, snowflake, aws, airflow, kafka, kubernetes};Renton, WA;WizardsoftheCoast;Senior Data Engineer;Illinois, United States
Data Analyst;via Indeed;Full-time;TRUE;08/05/2023 20:03;FALSE;TRUE;United States;year;1150000;0;;Anywhere;General Dynamics Information Technology;Data Analyst- REMOTE;Illinois, United States
Data Analyst;via Indeed;Full-time;FALSE;11/05/2023 14:38;FALSE;TRUE;United States;year;475150;0;{sql, sas, sas, cognos, tableau, word, excel, powerpoint};Charleston, SC;College of Charleston;Data and Reporting Analyst;Georgia
Data Engineer;via LinkedIn;Full-time;TRUE;09/05/2023 13:41;FALSE;FALSE;United States;year;940000;0;{sql, nosql, python, azure, aws, snowflake, tableau, looker};Anywhere;Acara Solutions;Associate Data Engineer;Georgia
Data Scientist;via WJHL Jobs;Full-time;FALSE;20/05/2023 10:08;FALSE;TRUE;United States;year;875000;0;;Tampa, FL;Jobot;Imaging Data Scientist;Georgia
Machine Learning Engineer;via Ai-Jobs.net;Full-time;FALSE;09/05/2023 10:49;FALSE;FALSE;Israel;year;1660000;0;{python, java, scala, c++, sql, cassandra, elasticsearch, bigquery, tensorflow, spark, kafka, airflow, kubernetes, docker};Tel Aviv-Yafo, Israel;Taboola;Senior Machine Learning Engineer;Israel
Data Engineer;via LinkedIn;Full-time;TRUE;13/05/2023 18:22;FALSE;FALSE;United States;hour;0;650;{sql, mongodb, mongodb, python, c#, sql server, postgresql, bigquery, azure, kafka, terraform, ansible};Anywhere;Mindseeker;Enterprise Data Engineer, Advisory;Illinois, United States
Data Analyst;via Ai-Jobs.net;Internship;FALSE;03/05/2023 17:57;FALSE;FALSE;Colombia;year;504000;0;{oracle};Bogotá, Bogota, Colombia;Publicis Groupe;Practicante Data Reporting;Colombia
Data Analyst;via Snagajob;Full-time;FALSE;17/05/2023 17:10;TRUE;FALSE;Sudan;hour;0;400;;Aurora, CO;Actalent;Analytical Scientist - Full-time;Sudan
Data Scientist;via Indeed;Full-time;TRUE;12/05/2023 01:39;FALSE;TRUE;United States;year;1800000;0;{databricks, cognos, qlik, excel};Anywhere;General Dynamics Information Technology;Data Scientist- Remote;Georgia
Data Analyst;via LinkedIn;Full-time;FALSE;27/05/2023 14:00;FALSE;TRUE;United States;year;1294800;0;{python, go, javascript, gdpr};San Jose, CA;TikTok;Data Loss Prevention Activity Monitoring Analyst;California, United States
Senior Data Analyst;via WTRF Jobs;Full-time;FALSE;18/05/2023 06:59;FALSE;TRUE;United States;year;1055000;0;;Raritan, NJ;QuidelOrtho;Senior IT Analyst-CMDB Administrator;New York, United States
Senior Data Engineer;via Ladders;Full-time;FALSE;18/05/2023 07:02;TRUE;TRUE;United States;year;3500000;0;;Rockland, MA;The Travelers Companies, Inc;VP, Data Engineering & Platforms;Illinois, United States
Data Scientist;via Upwork;Contractor;TRUE;24/05/2023 16:03;FALSE;FALSE;United States;hour;0;200;{python, scikit-learn, pytorch, matplotlib, numpy};Anywhere;Upwork;Need a Data Scientist with Python and Machine Learning Skills;Texas, United States
Data Scientist;via Adzuna;Full-time;FALSE;25/05/2023 07:52;FALSE;FALSE;Sudan;hour;0;770;{python, aws};United States;Spear Staffing;Data Scientist;Sudan
Business Analyst;via LinkedIn;Full-time;FALSE;11/05/2023 12:38;FALSE;FALSE;United States;year;800000;0;{snowflake, tableau, jira};Georgia;Bull City Talent Group;Hybrid BI Analyst;Georgia
Data Scientist;via Ladders;Full-time;FALSE;29/05/2023 11:24;FALSE;FALSE;United States;year;900000;0;{python, sas, sas, r, gcp, aws, azure, databricks, pyspark};Louisville, KY;Humana Inc;Data Scientist II;Georgia
Data Scientist;via Ladders;Full-time;FALSE;12/05/2023 07:04;FALSE;TRUE;United States;year;1250000;0;{python, sql};San Francisco, CA;Uber;Data Scientist, Automation;California, United States
Data Engineer;via Ai-Jobs.net;Full-time;FALSE;29/05/2023 21:23;FALSE;FALSE;Bangladesh;year;974440;0;{python, sql};Dhaka, Bangladesh;Augmedix;Data Engineer, Analytics & Insights;Bangladesh
Data Scientist;via Upwork;Contractor;TRUE;24/05/2023 12:03;FALSE;FALSE;United States;hour;0;550;;Anywhere;Upwork;Data Scientist for building retail sector solution using AI;Texas, United States
Data Engineer;via Dice;Full-time;FALSE;01/05/2023 22:10;FALSE;FALSE;United States;year;1430000;0;{sql, powershell, python, r, sql server, azure, databricks, pyspark, spark, windows, word, ssis, power bi};Vienna, VA;Navy Federal Credit Union;Azure Data Engineer;Florida, United States
